ticker,momentum_score,12m_return,z_score,mean_momentum,std_momentum
CZR,0.7361059756931428,-0.1328943470202618,-0.35850004350034714,0.12333380252748571,0.7147227850963969
CPT,0.845263930468886,0.023593962219169366,-0.18306243050650292,0.09126308175105523,0.36965050308059827
CPB,0.6352695289405165,-0.09171268730907729,-0.5741350000963689,0.004046619932747694,0.16678883402989148
COF,1.18540876896189,0.35063694873717555,0.18540876896188996,0.2450807847055816,0.5693159208305332
CAH,0.873685657602533,0.23130952119002104,-0.14457641750018438,0.2645874614442728,0.23017543821909492
KMX,1.02966351520188,-0.02700452808427602,0.02966351520188015,-0.03601889719003976,0.3038874200988961
CCL,1.3576212052419248,0.3428317487449374,0.3576212052419247,0.13040264573923893,0.5940058919660364
CARR,1.8125128634922034,0.5693359487553936,0.8125128634922033,0.2541816862567879,0.3878760283794939
CAT,2.469816181483938,0.6757753226185674,1.4698161814839377,0.24112852352789263,0.2957150727867563
CBOE,1.544711357880408,0.32384231337374153,0.5447113578804079,0.22302544175200908,0.18508310899562136
CBRE,0.9455754526647847,0.17552057991546566,-0.0575570645175254,0.1997518214334815,0.4209950893280482
CDW,1.4657002566477635,0.31782897054150594,0.4657002566477634,0.20535268600536444,0.2415207699170627
COR,1.5677508981083035,0.34527278106161374,0.5677508981083035,0.27962238225748715,0.11563239974233068
CNC,1.4004223427539664,0.14709175633589067,0.4004223427539664,0.06535247259608648,0.20413267445974584
CNP,0.8506744186162486,0.11213661703201294,-0.1755378769078916,0.1409841701401343,0.16433805407854105
CF,0.8842796968876234,0.32574267067969187,-0.13086391502561273,0.3871616058950055,0.46933438605510674
CRL,1.0044713724342031,0.07787773905435594,0.004471372434203193,0.07580639433516953,0.4632458489348641
SCHW,1.4772353072411262,0.41559016354126466,0.47723530724112617,0.20034076701943979,0.4510340983909406
CHTR,0.9299449571607805,-0.11966886251631963,-0.07533246166859695,-0.09984072811999449,0.2632083693687483
CVX,0.646450633320573,0.12218362498672153,-0.5469085316900028,0.2684423989019267,0.26742821777391323
CMG,2.1287251652472374,0.5071201900872875,1.1287251652472376,0.22005525824511346,0.254326687027745
CB,2.811724665029776,0.48078957349894796,1.8117246650297762,0.1882387590521586,0.1614764208346091
CHD,1.7434253860243216,0.17099253784461316,0.7434253860243216,0.060473452285503125,0.14866197420314395
CI,2.1586032893564493,0.41821391598413143,1.158603289356449,0.17638502854448077,0.20872449583150718
CINF,1.3115209689941132,0.253789823954959,0.3115209689941132,0.15804644119362563,0.30734169539368206
CTAS,2.7853694707214443,0.4502920794282753,1.7853694707214445,0.2071369404754927,0.1361931762250459
CSCO,0.6261134064644246,-0.03469388193146618,-0.597154748126,0.093355631652337,0.21443271444403664
C,2.332472188081394,0.4544397474928872,1.3324721880813943,0.05014167267444236,0.3034195223245802
CFG,1.9044640026420243,0.46861517833311966,0.9044640026420243,0.09838749150704176,0.4093337996256435
CLX,0.6507752425996479,-0.13953675110756525,-0.5366288305702996,-0.06889054448730492,0.13164817578880625
CME,1.4757688405624216,0.18972211241976747,0.47576884056242164,0.10319215091081091,0.18187395670272713
CMS,2.0900388296342536,0.12323332287690872,1.0900388296342536,0.019125756027597245,0.0955081268841067
KO,0.9571600572747112,0.0884435007246737,-0.04475734481364121,0.09316351801579649,0.10545793792674252
CTSH,1.2143689346985618,0.07657955967621051,0.2143689346985617,0.034735028136587534,0.19519867278560363
COIN,2.8836586324685904,2.632154266846166,1.8836586324685904,0.25227291917789746,1.2634355857512056
CL,3.9886625912662597,0.28095024144643155,2.9886625912662597,0.032618654635408605,0.08309120860170699
CMCSA,1.0287752731692974,0.045684167448004694,0.028775273169297354,0.037756993266204714,0.27548562737045074
CAG,0.5956514489306894,-0.10212428380999253,-0.6788341601370987,-0.016436433094050417,0.1262279592686326
COP,0.5853354375898131,0.21190583096331003,-0.7084221042853934,0.47253136743237734,0.3678958277734262
ED,0.7124722159973895,0.05041319166558076,-0.4035635040169257,0.10714042651043973,0.1405658199520435
STZ,0.6813306558201894,0.04501038119422337,-0.46771613967111864,0.1001801151793446,0.11795559166274361
COO,0.8664806622844756,0.015447762156494486,-0.15409384597632084,0.04908932344019858,0.21831865556054522
