Date,Our Portfolio,S&P 500,SPESG
2023-06-20,192.5140186597735,123.36361397900195,128.34641203236976
2023-06-21,192.4387689481682,122.71653708658515,127.49951049787236
2023-06-22,192.63016593560653,123.1719134178314,128.1981182804081
2023-06-23,190.52727746696357,122.22856328753761,127.133723936086
2023-06-26,191.96595518660513,121.68014348924936,126.40545941446611
2023-06-27,193.02829236246615,123.07409356392844,127.84551584372834
2023-06-28,192.75712812650363,123.0305158964468,127.83563026403364
2023-06-29,194.27019169269457,123.58089840542792,128.26402884940015
2023-06-30,195.92031674524213,125.09711300354851,129.9215780884871
2023-07-03,195.2436525915618,125.24356141678612,130.1390708983118
2023-07-05,194.4804804103599,124.99704220871108,129.8391949055175
2023-07-06,193.27593915797644,124.00675172478348,128.87695490355443
2023-07-07,192.2531528514111,123.65145991362425,128.50458130748527
2023-07-10,193.2903359246468,123.94884489671882,128.52106397800372
2023-07-11,194.84231604914865,124.7845341691461,129.3086419777919
2023-07-12,194.60733573860352,125.70934148722961,130.29395168455628
2023-07-13,195.41611637612365,126.77411890073927,131.59889848696344
2023-07-14,193.51101702341325,126.64425058901907,131.579127327574
2023-07-17,193.31720818954682,127.13251261830823,132.05035672059037
2023-07-18,193.84170170865673,128.03734969822295,133.23007947583721
2023-07-19,194.5282162244067,128.33925028843615,133.63210981099053
2023-07-20,196.41298918912068,127.47207529342526,132.47215821513313
2023-07-21,196.6081289656312,127.51338829472283,132.48204379482786
2023-07-24,195.75659496876006,128.02779692450096,133.11475106491247
2023-07-25,195.28891955667427,128.3881533527628,133.5233684343486
2023-07-26,194.00480605560713,128.36819683984365,133.43768670596717
2023-07-27,195.75167247765108,127.5434740418472,132.53147169330143
2023-07-28,196.20958564000404,128.80332842792916,133.97812521338741
2023-07-31,196.9720118340751,128.9925035431732,134.3175435249606
2023-08-01,200.12542156220147,128.64872721642882,133.83313000683762
2023-08-02,201.19002500847083,126.8682878382485,131.87570477495643
2023-08-03,204.60614198194148,126.54503075965691,131.50333117888724
2023-08-04,202.9166554779626,125.87433271267759,130.8607383291079
2023-08-07,205.73292030745483,127.01023436961717,131.89547593434585
2023-08-08,205.5321880570487,126.47446925146059,131.35503742692555
2023-08-09,207.31848317593543,125.58424956237045,130.3466680719008
2023-08-10,207.13954349450648,125.61573528495407,130.40928009548097
2023-08-11,207.8014014845109,125.48136509136489,130.2280411155642
2023-08-14,207.3982949435574,126.20294263861338,131.0650570703669
2023-08-15,205.4134818237857,124.74518387854145,129.56238861752448
2023-08-16,203.64370564197074,123.80268471372288,128.61003419525616
2023-08-17,200.2285858513301,122.84780537376466,127.66757540922345
2023-08-18,200.58513054817016,122.82953706654635,127.59836629481953
2023-08-21,201.05950014494886,123.67450460770355,128.6429894797522
2023-08-22,200.36691199469269,123.33100278595117,128.28708849766056
2023-08-23,202.33710094118544,124.69317890780505,129.80623962102143
2023-08-24,200.64789080526228,123.01506126539665,127.98722256140718
2023-08-25,202.1643991941515,123.84147226909394,128.86048228957688
2023-08-28,203.10056892142475,124.61729200276372,129.6348862207994
2023-08-29,204.4825002095759,126.42527795689227,131.6384408057423
2023-08-30,204.84999642419717,126.90988906978764,132.17228222233882
2023-08-31,203.61725298492144,126.70722203418627,131.96797353762074
2023-09-01,203.94788839519848,126.93518470480143,132.23819279133087
2023-09-05,200.2060581422876,126.40279599804663,131.75377927320793
2023-09-06,201.26981607065662,125.52156634744482,130.64984261010696
2023-09-07,202.77011194031766,125.11848321717653,130.18849879678532
2023-09-08,203.7693833875466,125.29698008823138,130.43234980028228
2023-09-11,204.64199446377455,126.1394084582125,131.38140567713873
2023-09-12,203.6148605438028,125.42093281737372,130.67620080377924
2023-09-13,204.19706698929213,125.57665949934132,130.83438013543562
2023-09-14,206.41230422609175,126.63526055053073,131.86911774067354
2023-09-15,204.69481746264418,125.09542479784766,130.27088197975493
2023-09-18,205.98063419998863,125.1856545887215,130.30712575312197
2023-09-19,206.02249170913979,124.91637891680878,129.95123482757123
2023-09-20,207.59750539089086,123.74281517496534,128.5573077513707
2023-09-21,205.90085354302832,121.71331741753389,126.45159882406874
2023-09-22,205.76732482173378,121.43391251141597,126.08581226228239
2023-09-25,207.45736262169066,121.9224490456971,126.62295222429081
2023-09-26,205.16264133464585,120.1259785759834,124.69189524262276
2023-09-27,206.01419232418004,120.15352515193165,124.652342867303
2023-09-28,206.30636832301437,120.86161077882282,125.43663237822022
2023-09-29,204.80027754315523,120.53412632335426,125.21585107952458
2023-10-02,203.00212845720327,120.5436928223258,125.46628911730437
2023-10-03,201.75921264776403,118.88693166829583,123.6835158310571
2023-10-04,204.46716237800277,119.85107555173443,124.80063661926464
2023-10-05,205.75105593566357,119.69478613453322,124.65893995812674
2023-10-06,206.26877430415985,121.10896722712347,126.2143348548546
2023-10-09,209.06942344505475,121.87242051090317,126.86351473891675
2023-10-10,210.87461647175633,122.50713095342991,127.49621195246046
2023-10-11,213.5932729360856,123.03305506762288,128.20141682581996
2023-10-12,212.90159506847291,122.2645371667406,127.54893839634592
2023-10-13,213.8528764934783,121.65090870760025,126.81407678390227
2023-10-16,215.0695688912253,122.9397233703393,128.18493415530148
2023-10-17,216.80419461115204,122.92764515069084,128.03335191446882
2023-10-18,217.06051321843893,121.28043677038285,126.27694687843474
2023-10-19,215.47581965554454,120.25163323607617,125.31140833105985
2023-10-20,213.86259612550367,118.7382323141237,123.75272494546098
2023-10-23,212.7962923137594,118.53809072444884,123.54181916991918
2023-10-24,214.820826784585,119.39936386213148,124.53701445637823
2023-10-25,214.51394443496116,117.68722132596339,122.71140030594023
2023-10-26,214.29430492186424,116.29468495199316,121.05713955572428
2023-10-27,212.2521954223692,115.73643787499095,120.53318371882247
2023-10-30,213.19080343005731,117.12643507778509,122.12812093432919
2023-10-31,216.2628360991381,117.88482374446218,122.81025610288737
2023-11-01,219.2592178246791,119.12332164216572,124.18770050856945
2023-11-02,221.19884638733774,121.3698155957815,126.58670845092375
2023-11-03,222.79348774452092,122.50993090434844,127.65439128411683
2023-11-06,222.97511446511265,122.72468988484786,128.0860783583543
2023-11-07,221.08715713949775,123.07324259845325,128.49140723891952
2023-11-08,221.60827935246857,123.19692082260359,128.649576514035
2023-11-09,219.99298758703887,122.20101671158936,127.48302782735388
2023-11-10,221.26597528267274,124.10936169079699,129.50636362822715
2023-11-13,221.67417280463582,124.0056262543162,129.3415972622879
2023-11-14,221.4931396082631,126.37103577047095,131.7438936935132
2023-11-15,219.52882848313732,126.57285184059708,131.94161534394846
2023-11-16,220.16753381047803,126.72352763071166,132.198650472552
2023-11-17,222.00583621028298,126.88599341023308,132.23489424591904
2023-11-20,223.86418897613294,127.82371618819066,133.22679098696625
2023-11-21,223.88346722869522,127.56539326545915,132.92691499417197
2023-11-22,225.43127723572036,128.08345281163105,133.45745786535662
2023-11-24,226.21359246172852,128.159902451906,133.45745786535662
2023-11-27,227.10890845475947,127.90945782244518,133.27951743085166
2023-11-28,225.97294596965156,128.03482425229637,133.45087083107376
2023-11-29,225.45964092422594,127.91367147407253,133.27951743085168
2023-11-30,228.8327010068636,128.3977061264847,133.72767711906675
2023-12-01,229.26041653766234,129.15188114153443,134.3900411282355
2023-12-04,229.32662360339418,128.45336201361482,133.53984104832622
2023-12-05,228.2379964432951,128.38028878474162,133.72767711906675
2023-12-06,226.44845152082178,127.87880934008717,133.1246366446072
2023-12-07,225.50742335412352,128.89777187043026,134.27800120618173
2023-12-08,228.03038448895046,129.42567242056572,134.78218588369407
2023-12-11,229.4178826233889,129.9336027325324,134.96012631819903
2023-12-12,230.86145116410725,130.53121382538896,135.57636097430606
2023-12-13,234.2175553012101,132.31305317902851,137.36900978370713
2023-12-14,230.98151860510075,132.66329409833472,137.75126895947102
2023-12-15,229.33033769673546,132.6531785893791,137.75126895947102
2023-12-18,228.60368149491904,133.2538778633958,138.3279512402583
2023-12-19,229.88265963177662,134.03559945439375,139.128723421694
2023-12-20,226.6692708209832,132.06738493642862,137.2174275428745
2023-12-21,228.64655891541892,133.42787285258163,138.60805607366316
2023-12-22,229.56313687631683,133.64937093063494,138.7893051101208
2023-12-26,230.03762299720347,134.21493356567424,139.36598739090812
2023-12-27,230.28039937474608,134.4069223570864,139.5735845644972
2023-12-28,230.91270861479666,134.45667638688832,139.63949513348922
2023-12-29,231.13790320868688,134.07663795069934,139.2704200828319
2024-01-02,233.74713291947415,133.31768654878863,138.45647383283054
2024-01-03,234.69770004941802,132.2489699886436,137.44810447780574
